budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year
3520000.0,Independent Film Centre,USA,Lance Hool,Action,562187.0,Steel Dawn,R,1988-03-31,100,5.0,Patrick Swayze,3860,Doug Lefler,1987
1300000.0,Empire Pictures,USA,Renny Harlin,Crime,354704.0,Prison,R,1987-12-08,102,5.9,Lane Smith,3019,Irwin Yablans,1987
25000000.0,Warner Bros.,USA,Martin Ritt,Drama,30950002.0,Nuts,R,1987-12-11,116,6.7,Barbra Streisand,4996,Tom Topor,1987
11000000.0,Bandai Films,USA,Barry Levinson,Comedy,25411386.0,Tin Men,R,1987-03-13,112,6.5,Richard Dreyfuss,6960,Barry Levinson,1987
0.0,Cannon Group,USA,Lionel Chetwynd,Drama,760000.0,The Hanoi Hilton,R,1987-05-23,125,6.0,Michael Moriarty,763,Lionel Chetwynd,1987
7500000.0,De Laurentiis Entertainment Group (DEG),USA,William Friedkin,Drama,796368.0,Rampage,R,1992-10-30,97,6.3,Michael Biehn,1625,William P. Wood,1987
0.0,Albacore Productions Inc.,USA,Ben Bolt,Drama,1733017.0,The Big Town,R,1987-09-25,109,5.9,Matt Dillon,1483,Clark Howard,1987
0.0,Channel Four Films,UK,David Leland,Comedy,3283832.0,Wish You Were Here,R,1987-07-24,88,6.8,Emily Lloyd,2212,David Leland,1987
0.0,Aurora Productions LLC,USA,Tamar Simon Hoffs,Comedy,2700000.0,The Allnighter,PG-13,1987-05-01,108,4.0,Susanna Hoffs,904,Tamar Simon Hoffs,1987
0.0,Callender Company,UK,Peter Greenaway,Drama,287725.0,The Belly of an Architect,R,1987-10-16,119,7.0,Brian Dennehy,4517,Peter Greenaway,1987
0.0,Hemdale,USA,John Flynn,Action,4278150.0,Best Seller,R,1987-09-25,95,6.5,James Woods,3752,Larry Cohen,1987
0.0,Lorimar Motion Pictures,USA,Mary Lambert,Drama,700000.0,Siesta,R,1987-11-11,100,5.6,Ellen Barkin,1844,Patrice Chaplin,1987
0.0,Great American Films Limited Partnership,USA,Michael Hoffman,Drama,316199.0,Promised Land,R,1988-01-22,102,5.7,Jason Gedrick,1052,Michael Hoffman,1987
0.0,De Laurentiis Entertainment Group (DEG),USA,Curtis Hanson,Crime,12640385.0,The Bedroom Window,R,1987-01-16,112,6.4,Steve Guttenberg,3650,Anne Holden,1987
0.0,Excelsior Film-TV,Italy,Nikita Mikhalkov,Comedy,2201428.0,Dark Eyes,Not specified,1987-11-06,117,7.6,Marcello Mastroianni,2421,Aleksandr Adabashyan,1987
3000000.0,Vista Organization,USA,Amy Holden Jones,Fantasy,9868521.0,Maid to Order,PG,1987-07-31,93,5.5,Ally Sheedy,2786,Amy Holden Jones,1987
0.0,Island Pictures,USA,Daniel Petrie,Drama,225358.0,Square Dance,PG-13,1988-01-09,112,6.1,Jason Robards,730,Alan Hines,1987
1000000.0,Commies From Mars Corporation,UK,Alex Cox,Action,210200.0,Straight to Hell,R,1987-06-26,100,5.8,Sy Richardson,1924,Alex Cox,1987
0.0,Nelvana,Canada,Hugh Wilson,Comedy,16337355.0,Burglar,R,1987-03-20,103,5.0,Whoopi Goldberg,3453,Lawrence Block,1987
0.0,Kings Road Entertainment,USA,Phil Alden Robinson,Comedy,999382.0,In the Mood,PG-13,1987-09-16,98,6.1,Patrick Dempsey,778,Robert Kosberg,1987
0.0,Brooksfilms,UK,David Hugh Jones,Biography,1083486.0,84 Charing Cross Road,PG,1987-02-13,100,7.5,Anne Bancroft,6285,Helene Hanff,1987
100000.0,Silent Night Releasing Corporation,USA,Lee Harry,Horror,154323.0,"Silent Night, Deadly Night 2",R,1987-04-10,88,3.5,Eric Freeman,4329,Michael Hickey,1987
0.0,Cineplex-Odeon Films,UK,Tony Bill,Crime,969205.0,Five Corners,R,1988-05,90,6.3,Jodie Foster,2584,John Patrick Shanley,1987
8000000.0,De Laurentiis Entertainment Group (DEG),USA,Tom McLoughlin,Comedy,1988962.0,Date with an Angel,PG,1987-11-20,105,5.8,Phoebe Cates,2163,Tom McLoughlin,1987
5800000.0,In-Cine Compañía Industrial Cinematográfica,USA,Alex Cox,Biography,257043.0,Walker,R,1987-12-04,94,6.6,Ed Harris,2684,Rudy Wurlitzer,1987
0.0,Cinetel Films,USA,Larry Cohen,Adventure,626724.0,Deadly Illusion,R,1987-10-16,87,4.7,Billy Dee Williams,233,Larry Cohen,1987
0.0,Zenith Entertainment,UK,Wayne Wang,Mystery,406881.0,Slam Dance,R,1987-10-02,92,5.3,Tom Hulce,1129,Don Keith Opper,1987
19000000.0,TriStar Pictures,USA,Roger Young,Action,2228951.0,The Squeeze,PG-13,1987-07-10,101,4.6,Michael Keaton,770,Daniel Taplitz,1987
0.0,British Screen Productions,UK,Terry Jones,Comedy,1744164.0,Personal Services,R,1987-05-15,105,6.4,Julie Walters,1031,David Leland,1987
5000000.0,Golan-Globus Productions,USA,Peter R. Hunt,Action,6075793.0,Assassination,PG-13,1987-01-09,88,5.1,Charles Bronson,2255,Richard Sale,1987
75000.0,Titan Productions,USA,David DeCoteau,Horror,13133.0,Creepozoids,R,1987-10-02,72,3.5,Linnea Quigley,1447,Dave Eisenstark,1987
0.0,Great American Films Limited Partnership,USA,Abel Ferrara,Crime,1262091.0,China Girl,R,1987-09-25,90,6.1,James Russo,1214,Nicholas St. John,1987
12000000.0,TriStar Pictures,USA,Robert Benton,Comedy,5669831.0,Nadine,PG,1987-08-07,83,5.5,Jeff Bridges,3267,Robert Benton,1987
0.0,Metro-Goldwyn-Mayer (MGM),USA,Arthur Penn,Drama,2413427.0,Dead of Winter,R,1987-02-06,100,6.3,Mary Steenburgen,2694,Marc Shmuger,1987
0.0,Seasonal Film Corporation,Hong Kong,Corey Yuen,Adventure,108154.0,"No Retreat, No Surrender 2",R,1989-01-27,104,5.1,Loren Avedon,1209,Maria Elena Cellino,1987
0.0,Cineplex-Odeon Films,USA,Paul Newman,Drama,895904.0,The Glass Menagerie,PG,1988-01-15,134,7.2,Joanne Woodward,1699,Tennessee Williams,1987
0.0,Luna Films,Spain,Bigas Luna,Horror,228789.0,Anguish,R,1988-01-08,86,6.7,Zelda Rubinstein,2611,Bigas Luna,1987
0.0,Channel Four Films,UK,Pat O'Connor,Drama,443524.0,A Month in the Country,PG,1987-12-04,96,7.2,Colin Firth,1038,J.L. Carr,1987
1100000.0,Conquest Productions,USA,Jeff Burr,Action,1355728.0,From a Whisper to a Scream,R,1987-09-04,99,6.0,Vincent Price,1489,C. Courtney Joyner,1987
0.0,Touchstone Pictures,USA,Frank Perry,Comedy,20419446.0,Hello Again,PG,1987-11-06,96,5.1,Shelley Long,2493,Susan Isaacs,1987
0.0,Sands,UK,Christine Edzard,Drama,1025228.0,Little Dorrit,G,1988-10-21,357,7.5,Derek Jacobi,886,Charles Dickens,1987
0.0,Metro-Goldwyn-Mayer (MGM),USA,Melvin Frank,Comedy,460608.0,Walk Like a Man,PG,1987-04-17,86,4.6,Christopher Lloyd,1174,Robert Klane,1987
5000000.0,Golan-Globus Productions,USA,Norman Mailer,Comedy,858250.0,Tough Guys Don't Dance,R,1987-09-18,110,4.8,Ryan O'Neal,1025,Norman Mailer,1987
0.0,Warner Bros.,USA,Michael Schultz,Comedy,10348437.0,Disorderlies,PG,1987-08-14,86,4.8,Darren Robinson,1708,Mark Feldberg,1987
4000000.0,New World Entertainment Films,USA,Bill Condon,Drama,743445.0,"Sister, Sister",R,1988-02-09,91,5.5,Eric Stoltz,695,Bill Condon,1987
0.0,Barry & Enright Productions,USA,Susan Seidelman,Comedy,1584970.0,Making Mr. Right,PG-13,1987-04-03,98,5.3,John Malkovich,2101,Floyd Byars,1987
0.0,Mrs. White's Productions,UK,Donald Cammell,Horror,225132.0,White of the Eye,R,1988-05-20,100,6.4,David Keith,1342,China Kong,1987
0.0,New Century Entertainment Corporation,USA,Rick Rosenthal,Drama,2189047.0,Russkies,PG,1987-11-06,100,5.6,Whip Hubley,1126,Sheldon Lettich,1987
15000000.0,Cannon Group,USA,Jerry Belson,Comedy,5711976.0,Surrender,PG,1987-10-09,105,5.4,Sally Field,692,Jerry Belson,1987
0.0,Columbia Pictures Corporation,USA,Bill Forsyth,Comedy,1083282.0,Housekeeping,PG,1988-01,116,7.3,Christine Lahti,1596,Marilynne Robinson,1987
0.0,Kennedy Miller Productions,Australia,John Duigan,Drama,213901.0,The Year My Voice Broke,PG-13,1987-10-17,103,7.5,Noah Taylor,1647,John Duigan,1987
0.0,DGS Productions,USA,Douglas Grossman,Crime,187920.0,Hell High,R,1989-05-12,84,5.0,Maureen Mooney,464,Leo Evans,1989
0.0,Alexandre Films,France,Diane Kurys,Drama,949451.0,A Man in Love,R,1987-09,125,5.8,Peter Coyote,442,Diane Kurys,1987
0.0,De Laurentiis Entertainment Group (DEG),USA,Bob Clark,Comedy,9518342.0,From the Hip,PG,1987-02-06,111,6.2,Judd Nelson,1826,Bob Clark,1987
0.0,Northern,USA,Armyan Bernstein,Comedy,1025762.0,Cross My Heart,R,1987-11-13,90,5.7,Martin Short,883,Armyan Bernstein,1987
0.0,Lorimar Film Entertainment,USA,Robert Mandel,Adventure,3390043.0,Big Shots,PG-13,1987-10-02,94,5.6,Ricky Busker,654,Joe Eszterhas,1987
14000000.0,Paramount Pictures,USA,Michael Apted,Comedy,20240502.0,Critical Condition,R,1987-01-16,100,5.2,Richard Pryor,2453,Denis Hamill,1987
0.0,Cinetel Films,USA,Fred Olen Ray,Action,41174.0,Cyclone,R,1987-06-05,89,4.4,Heather Thomas,692,Paul Garson,1987
0.0,Kings Road Entertainment,USA,Paul Aaron,Comedy,2136381.0,Morgan Stewart's Coming Home,PG-13,1987-02-20,100,5.4,Jon Cryer,768,Ken Hixon,1987
0.0,Cinetel Films,USA,Dorothy Ann Puzo,Action,285885.0,Cold Steel,R,1988-04-09,91,4.5,Brad Davis,592,Lisa M. Hansen,1987
0.0,Cinema Group,USA,Ron Link,Comedy,21905.0,Zombie High,R,1987-10-02,93,4.2,Virginia Madsen,716,Tim Doyle,1987
0.0,Aljosha,Italy,Federico Fellini,Comedy,112560.0,Intervista,Not specified,1992-11-06,100,7.1,Sergio Rubini,1926,Federico Fellini,1987
0.0,New Line Cinema,USA,Charlie Loventhal,Comedy,3922273.0,My Demon Lover,PG-13,1987-04-24,90,4.6,Scott Valentine,945,Leslie Ray,1987
0.0,"Cannon Group, The",USA,David Irving,Fantasy,355253.0,Rumpelstiltskin,G,1987-04,84,5.4,Amy Irving,444,Jacob Grimm,1987
0.0,Apollo Pictures,USA,Lee H. Katzin,Action,307000.0,World Gone Wild,R,1988-04-22,100,5.2,Bruce Dern,543,Jorge Zamacona,1987
0.0,Millennial,USA,Peter Manoogian,Action,197791.0,Enemy Territory,R,1987-05-22,89,6.5,Gary Frank,570,Stuart Kaminsky,1987
0.0,RAI Radiotelevisione Italiana,Italy,Peter Del Monte,Drama,901364.0,Julia and Julia,R,1988-02-05,98,5.7,Kathleen Turner,667,Peter Del Monte,1987
0.0,Centre du Cinéma et de l'Audiovisuel de la Fédération Wallonie-Bruxelles,Belgium,Dominique Deruddere,Drama,119919.0,Crazy Love,Not specified,1987,90,7.0,Josse De Pauw,949,Charles Bukowski,1987
12000000.0,De Laurentiis Entertainment Group (DEG),USA,John D. Hancock,Drama,2325444.0,Weeds,R,1987-10-16,115,6.0,Nick Nolte,717,Dorothy Tristan,1987
0.0,Flach Film,France,Jean-Loup Hubert,Drama,760539.0,The Grand Highway,R,1987-03-25,104,7.5,Anémone,1208,Jean-Loup Hubert,1987
0.0,Laughing Kookaburra Productions,Australia,Ken Cameron,Drama,1155020.0,Peter Kenna's The Good Wife,R,1987-05-14,100,5.8,Rachel Ward,435,Peter Kenna,1987
0.0,Kings Road Entertainment,USA,Jerry London,Action,295000.0,Rent-a-Cop,R,1988-01-15,96,4.3,Burt Reynolds,1347,Michael Blodgett,1987
0.0,Les Films du Losange,France,Éric Rohmer,Comedy,823243.0,Boyfriends and Girlfriends,PG,1988-07-15,103,7.7,Emmanuelle Chaulet,2657,Éric Rohmer,1987
0.0,Channel Four Films,UK,Stephen Frears,Comedy,1196336.0,Sammy and Rosie Get Laid,Not specified,1987-10-30,101,6.7,Shashi Kapoor,1226,Hanif Kureishi,1987
0.0,Balcor Film Investors,USA,Terry Leonard,Action,4546244.0,Death Before Dishonor,R,1987-02-20,91,4.9,Fred Dryer,659,John Gatliff,1987
0.0,Tapestry Films,USA,Rick King,Thriller,500283.0,The Killing Time,R,1987-10-23,94,5.4,Beau Bridges,763,Don Bohlinger,1987
0.0,Channel Four Films,UK,Peter Richardson,Action,200723.0,Eat the Rich,R,1987-08-17,90,6.0,Al Pillay,1069,Peter Richardson,1987
0.0,Brigade Productions,USA,Burt Kennedy,Action,205507.0,The Trouble with Spies,PG-13,1987-12-04,91,4.0,Donald Sutherland,252,Burt Kennedy,1987
0.0,Embark Production,USA,Joe Camp,Adventure,22257624.0,Benji the Hunted,G,1987-06-05,88,6.3,Red Steagall,2244,Joe Camp,1987
0.0,First Take,USA,Fred Walton,Crime,1730337.0,The Rosary Murders,R,1988-04-14,105,5.7,Donald Sutherland,960,William X. Kienzle,1987
0.0,The Swimming Company,USA,Jonathan Demme,Comedy,1092911.0,Swimming to Cambodia,R,1987-04,85,7.8,Spalding Gray,1763,Spalding Gray,1987
0.0,Not specified,USA,Jamaa Fanaka,Comedy,1392616.0,Penitentiary III,R,1987-09-04,90,3.7,Leon Isaac Kennedy,372,Jamaa Fanaka,1987
0.0,Atlantic Entertainment Group,USA,Robert Boris,Action,1327740.0,Steele Justice,R,1987-07-09,95,4.8,Sela Ward,403,Robert Boris,1987
0.0,Compagnie Eric Rohmer (CER),France,Éric Rohmer,Comedy,215073.0,Four Adventures of Reinette and Mirabelle,NOT RATED,1989-07-19,95,7.9,Joëlle Miquel,1331,Éric Rohmer,1987
0.0,New World Pictures,USA,Robert Altman,Comedy,790000.0,Beyond Therapy,R,1987-04,93,4.7,Julie Hagerty,944,Christopher Durang,1987
15000000.0,"Geffen Company, The",USA,Tim Burton,Comedy,73707461.0,Beetlejuice,PG,1988-03-30,92,7.5,Alec Baldwin,206997,Michael McDowell,1988
39000000.0,Eddie Murphy Productions,USA,John Landis,Comedy,128152300.0,Coming to America,R,1988-06-29,116,7.0,Eddie Murphy,130485,Eddie Murphy,1988
9000000.0,United Artists,USA,Tom Holland,Horror,33244684.0,Child's Play,R,1988-11-09,87,6.6,Catherine Hicks,67682,Don Mancini,1988
28000000.0,Twentieth Century Fox Film Corporation,USA,John McTiernan,Action,83008852.0,Die Hard,R,1988-07-20,131,8.2,Bruce Willis,647000,Roderick Thorp,1988
35000000.0,Metro-Goldwyn-Mayer (MGM),USA,Ron Howard,Action,57269863.0,Willow,PG,1988-05-20,126,7.3,Val Kilmer,86056,George Lucas,1988
3000000.0,New World Pictures,USA,Michael Lehmann,Comedy,1108462.0,Heathers,R,1989-03-31,103,7.3,Winona Ryder,67238,Daniel Waters,1988
25000000.0,United Artists,USA,Barry Levinson,Drama,172825435.0,Rain Man,R,1988-12-16,133,8.0,Dustin Hoffman,408473,Barry Morrow,1988
4000000.0,Alive Films,USA,John Carpenter,Action,13008928.0,They Live,R,1988-11-04,94,7.3,Roddy Piper,83379,Ray Nelson,1988
70000000.0,Touchstone Pictures,USA,Robert Zemeckis,Animation,156452370.0,Who Framed Roger Rabbit,PG,1988-06-22,104,7.7,Bob Hoskins,153513,Gary K. Wolf,1988
0.0,Akira Committee Company Ltd.,Japan,Katsuhiro Ôtomo,Animation,553171.0,Akira,R,1988-07-16,124,8.1,Nozomu Sasaki,118747,Katsuhiro Ôtomo,1988
18000000.0,American Entertainment Partners II L.P.,USA,Penny Marshall,Comedy,114968774.0,Big,PG,1988-06-03,104,7.3,Tom Hanks,164257,Gary Ross,1988
20000000.0,Touchstone Pictures,USA,Roger Donaldson,Comedy,78222753.0,Cocktail,R,1988-07-29,104,5.8,Tom Cruise,65825,Heywood Gould,1988
5000000.0,Cristaldifilm,Italy,Giuseppe Tornatore,Drama,11990401.0,Cinema Paradiso,R,1990-02-23,155,8.5,Philippe Noiret,171600,Giuseppe Tornatore,1988
19000000.0,TriStar Pictures,USA,Chuck Russell,Horror,8247943.0,The Blob,R,1988-08-05,95,6.4,Shawnee Smith,24931,Theodore Simonson,1988
3500000.0,De Laurentiis Entertainment Group (DEG),USA,Stan Winston,Fantasy,4385516.0,Pumpkinhead,R,1989-01-13,86,6.2,Lance Henriksen,15572,Ed Justin,1988
7500000.0,Metro-Goldwyn-Mayer (MGM),UK,Charles Crichton,Comedy,63493712.0,A Fish Called Wanda,R,1988-08-05,108,7.6,John Cleese,114144,John Cleese,1988
2000000.0,Sarlui / Diamant,USA,Stephen Chiodo,Comedy,15625095.0,Killer Klowns from Outer Space,PG-13,1988-05-27,88,6.1,Grant Cramer,25440,Charles Chiodo,1988
30000000.0,Universal Pictures,USA,Martin Brest,Action,38413606.0,Midnight Run,R,1988-07-20,126,7.6,Robert De Niro,58318,George Gallo,1988
3000000.0,Film Futures,UK,Tony Randel,Horror,11090735.0,Hellbound: Hellraiser II,R,1988-12-23,97,6.5,Doug Bradley,33241,Clive Barker,1988
15000000.0,Orion Pictures,USA,Alan Parker,Crime,34603943.0,Mississippi Burning,R,1989-01-27,128,7.8,Gene Hackman,70539,Chris Gerolmo,1988
12000000.0,Paramount Pictures,USA,David Zucker,Comedy,78041829.0,The Naked Gun: From the Files of Police Squad!,PG-13,1988-12-02,85,7.6,Leslie Nielsen,124515,Jerry Zucker,1988
1100000.0,Cannon International,USA,Newt Arnold,Action,11806119.0,Bloodsport,R,1988-04-29,92,6.8,Jean-Claude Van Damme,63368,Sheldon Lettich,1988
28000000.0,Twentieth Century Fox Film Corporation,USA,Mike Nichols,Comedy,64000000.0,Working Girl,R,1988-12-21,113,6.7,Melanie Griffith,44277,Kevin Wade,1988
14000000.0,Paramount Pictures,Australia,John Cornell,Action,109305000.0,Crocodile Dundee II,PG,1988-05-25,108,5.5,Paul Hogan,46738,Paul Hogan,1988
12500000.0,Universal Pictures,USA,Don Bluth,Animation,48092846.0,The Land Before Time,G,1988-11-18,69,7.4,Pat Hingle,66623,Stu Krieger,1988
15000000.0,Universal Pictures,USA,Ivan Reitman,Comedy,111936400.0,Twins,PG,1988-12-09,107,6.0,Arnold Schwarzenegger,94295,William Davies,1988
14000000.0,Lorimar Film Entertainment,USA,Stephen Frears,Drama,34700000.0,Dangerous Liaisons,R,1989-02-24,119,7.7,Glenn Close,55823,Christopher Hampton,1988
17000000.0,The Saul Zaentz Company,USA,Philip Kaufman,Drama,10006806.0,The Unbearable Lightness of Being,R,1988-02-05,171,7.4,Daniel Day-Lewis,28868,Milan Kundera,1988
0.0,Gaumont,France,Luc Besson,Adventure,3500000.0,The Big Blue,R,1988-08-19,168,7.6,Jean-Marc Barr,40755,Luc Besson,1988
0.0,All Girl Productions,USA,Garry Marshall,Comedy,57041866.0,Beaches,PG-13,1989-01-13,123,6.8,Bette Midler,19613,Iris Rainer,1988
5000000.0,Trancas International Films,USA,Dwight H. Little,Horror,17768757.0,Halloween 4: The Return of Michael Myers,R,1988-10-21,88,5.9,Donald Pleasence,32498,Dhani Lipsius,1988
13000000.0,Morgan Creek Productions,USA,Christopher Cain,Action,45661556.0,Young Guns,R,1988-08-12,107,6.8,Emilio Estevez,45768,John Fusco,1988
29000000.0,Carolco Pictures,USA,Walter Hill,Action,34994648.0,Red Heat,R,1988-06-17,104,6.0,Arnold Schwarzenegger,53769,Walter Hill,1988
6000000.0,Night Life Inc.,USA,Donald Petrie,Comedy,12793213.0,Mystic Pizza,R,1988-10-21,104,6.2,Annabeth Gish,20071,Amy Holden Jones,1988
63000000.0,Carolco Pictures,USA,Peter MacDonald,Action,53715611.0,Rambo III,R,1988-05-25,102,5.7,Sylvester Stallone,99555,David Morrell,1988
6000000.0,Paramount Pictures,Canada,Jonathan Kaplan,Drama,32069318.0,Acusados,R,1988-10-14,111,7.1,Kelly McGillis,26126,Tom Topor,1988
7000000.0,Universal Pictures,Canada,Martin Scorsese,Drama,7630564.0,The Last Temptation of Christ,R,2004-03-12,164,7.6,Willem Dafoe,42782,Nikos Kazantzakis,1988
2000000.0,New Line Cinema,USA,John Waters,Comedy,6671108.0,Hairspray,PG,1988-02-26,92,7.0,Sonny Bono,17169,John Waters,1988
0.0,Orion Pictures,USA,Frank Oz,Comedy,42039085.0,Dirty Rotten Scoundrels,PG,1988-12-14,110,7.3,Steve Martin,54129,Dale Launer,1988
13000000.0,New Line Cinema,USA,Renny Harlin,Horror,49369899.0,A Nightmare on Elm Street 4: The Dream Master,R,1988-08-19,93,5.7,Robert Englund,39701,Wes Craven,1988
0.0,American Playhouse,USA,Ramón Menéndez,Drama,13994920.0,Stand and Deliver,PG,1988-03-11,103,7.3,Edward James Olmos,13270,Ramón Menéndez,1988
24000000.0,Hughes Entertainment,USA,Howard Deutch,Comedy,41455230.0,The Great Outdoors,PG,1988-06-17,91,6.6,Dan Aykroyd,31340,John Hughes,1988
0.0,DDM Film Corporation,USA,Zalman King,Drama,1547397.0,Two Moon Junction,R,1988-04-29,104,5.0,Sherilyn Fenn,4303,Zalman King,1988
7000000.0,The Mount Company,USA,Ron Shelton,Comedy,50888729.0,Bull Durham,R,1988-06-15,108,7.1,Kevin Costner,39369,Ron Shelton,1988
7500000.0,Warner Bros.,USA,Andrew Davis,Action,18869631.0,Above the Law,R,1988-04-22,99,6.0,Steven Seagal,24061,Andrew Davis,1988
10000000.0,De Laurentiis Entertainment Group (DEG),UK,Julien Temple,Comedy,3916303.0,Earth Girls Are Easy,PG,1989-05-12,100,5.2,Geena Davis,17315,Julie Brown,1988
31000000.0,Walt Disney Feature Animation,USA,George Scribner,Animation,74151346.0,Oliver & Company,G,1988-11-18,74,6.7,Joey Lawrence,35531,Jim Cox,1988
31000000.0,Warner Bros.,USA,Buddy Van Horn,Action,37903295.0,The Dead Pool,R,1988-07-13,91,6.3,Clint Eastwood,33312,Harry Julian Fink,1988
7500000.0,NBC Productions,USA,James Signorelli,Comedy,5596267.0,Elvira: Mistress of the Dark,PG-13,1988-09-30,96,6.4,Cassandra Peterson,9751,Sam Egan,1988
32000000.0,Paramount Pictures,USA,Richard Donner,Comedy,60328558.0,Scrooged,PG-13,1988-11-23,101,7.0,Bill Murray,68098,Mitch Glazer,1988
23000000.0,Cinema City Films,USA,Robert Towne,Crime,41292551.0,Tequila Sunrise,R,1988-12-02,115,6.0,Mel Gibson,24708,Robert Towne,1988
20000000.0,Warner Bros.,USA,Roman Polanski,Crime,17637950.0,Frantic,R,1988-02-26,120,6.9,Harrison Ford,41608,Roman Polanski,1988
2800000.0,Paramount Pictures,USA,John Carl Buechler,Horror,19170001.0,Friday the 13th Part VII: The New Blood,R,1988-05-13,88,5.3,Jennifer Banko,23959,Daryl Haney,1988
8000000.0,Twentieth Century Fox Film Corporation,USA,Greg Beeman,Comedy,22433275.0,License to Drive,PG-13,1988-07-06,88,6.3,Corey Haim,14929,Neil Tolkin,1988
46630000.0,Prominent Features,UK,Terry Gilliam,Adventure,8083123.0,The Adventures of Baron Munchausen,PG,1989-03-10,126,7.2,John Neville,43852,Charles McKeown,1988
13000000.0,Morgan Creek Productions,Canada,David Cronenberg,Drama,9134733.0,Dead Ringers,R,1988-09-23,116,7.3,Jeremy Irons,32130,David Cronenberg,1988
10500000.0,Metro-Goldwyn-Mayer (MGM),USA,Gary Sherman,Horror,14114488.0,Poltergeist III,PG-13,1988-06-10,98,4.6,Heather O'Rourke,14165,Gary Sherman,1988
7500000.0,Vista Organization,USA,Tommy Lee Wallace,Comedy,2983784.0,Fright Night Part 2,R,1989-05-19,104,5.9,William Ragsdale,9005,Tom Holland,1988
3000000.0,Front Films,USA,Keenen Ivory Wayans,Action,13030057.0,I'm Gonna Git You Sucka,R,1989-02-23,88,6.6,Keenen Ivory Wayans,10455,Keenen Ivory Wayans,1988
22000000.0,Zacharias-Buhai Productions,USA,Bud S. Smith,Comedy,17550399.0,Johnny Be Good,R,1988-03-25,91,4.5,Anthony Michael Hall,5006,Steve Zacharias,1988
1100000.0,Shapiro-Glickenhaus Entertainment,USA,William Lustig,Action,671382.0,Maniac Cop,R,1988-05-13,85,6.0,Tom Atkins,10850,Larry Cohen,1988
10000000.0,Orion Pictures,USA,Jonathan Demme,Comedy,21486757.0,Married to the Mob,R,1988-08-19,104,6.1,Michelle Pfeiffer,13416,Barry Strugatz,1988
6000000.0,Orion Pictures,USA,Dennis Hopper,Action,46616067.0,Colors,R,1988-04-29,120,6.7,Sean Penn,20490,Michael Schiffer,1988
17000000.0,Vision PDG,Ireland,Neil Jordan,Comedy,8578231.0,El Hotel de los Fantasmas,PG-13,1988-11-18,99,5.7,Peter O'Toole,6979,Neil Jordan,1988
3000000.0,Double Play,USA,Sidney Lumet,Crime,2835116.0,Running on Empty,PG-13,1988-09-09,116,7.7,River Phoenix,11312,Naomi Foner,1988
1200000.0,Blue Rider Pictures,USA,Kevin Tenney,Comedy,3109904.0,Night of the Demons,R,1988-10-14,90,6.3,Cathy Podewell,9897,Joe Augustyn,1988
13000000.0,Mac and Me Joint Venture,USA,Stewart Raffill,Adventure,6424112.0,Mac and Me,PG,1988-08-12,95,3.4,Christine Ebersole,8043,Stewart Raffill,1988
4500000.0,New Line Cinema,USA,Mick Garris,Comedy,3813293.0,Critters 2,PG-13,1988-04-29,86,5.3,Scott Grimes,11122,David Twohy,1988
20000000.0,Weintraub Entertainment Group,USA,Richard Benjamin,Comedy,13854000.0,My Stepmother Is an Alien,PG-13,1988-12-09,105,5.2,Dan Aykroyd,22281,Jerico,1988
6200000.0,Lorimar Film Entertainment,USA,Ken Wiederhorn,Comedy,9205924.0,Return of the Living Dead II,R,1988-01-15,89,5.8,James Karen,14998,Ken Wiederhorn,1988
0.0,TriStar Pictures,USA,Kenneth Johnson,Comedy,21630088.0,Short Circuit 2,PG,1988-07-06,110,5.6,Fisher Stevens,19841,Brent Maddock,1988
22000000.0,Universal Pictures,USA,Michael Apted,Biography,24720479.0,Gorillas in the Mist,PG-13,1988-10-07,129,7.0,Sigourney Weaver,20378,Harold T.P. Hayes,1988
2000000.0,Magellan Pictures,USA,Robert Bierman,Comedy,725131.0,Vampire's Kiss,R,1989-06-02,103,5.9,Nicolas Cage,10474,Joseph Minion,1988
0.0,Island Pictures,USA,William Richert,Comedy,6264058.0,A Night in the Life of Jimmy Reardon,R,1988-02-26,90,5.5,River Phoenix,2177,William Richert,1988
0.0,Metro-Goldwyn-Mayer (MGM),UK,Michael Hoffman,Comedy,401421.0,Some Girls,R,1988-09-09,94,6.0,Patrick Dempsey,2369,Rupert Walters,1988
2500000.0,White Lair,UK,Ken Russell,Comedy,1189315.0,The Lair of the White Worm,R,1988-10-21,93,5.9,Amanda Donohoe,7908,Ken Russell,1988
0.0,Vestron Pictures,USA,Anthony Hickox,Comedy,808114.0,Waxwork,R,1988-06-17,95,6.2,Zach Galligan,8703,Anthony Hickox,1988
7000000.0,Universal Pictures,USA,Wes Craven,Fantasy,19595031.0,The Serpent and the Rainbow,R,1988-02-05,98,6.5,Bill Pullman,18528,Wade Davis,1988
5000000.0,Columbia Pictures Corporation,Sweden,Ken Annakin,Family,3569939.0,Las travesuras de una pelirojja,G,1988-07-29,100,5.9,Tami Erin,3474,Astrid Lindgren,1988
6000000.0,Orion Pictures,USA,John Sayles,Drama,5680515.0,Eight Men Out,PG,1988-09-02,119,7.3,John Cusack,15946,Eliot Asinof,1988
4700000.0,New Sky Communications Inc.,USA,Frank LaLoggia,Fantasy,1705139.0,Lady in White,PG-13,1988-04-22,113,6.7,Lukas Haas,5135,Frank LaLoggia,1988
