Id,Name,Platform,Year,Genre,Publisher,Rank,Difficulty,Ign_score,NA_Sales,EU_Sales,JP_Sales,Other_Sales
2098,Jampack Winter 2000,PS,2000,Misc,Sony Computer Entertainment,2098,nan,nan,0.55,0.38,0,0.07
2099,Dead Space 3,X360,2013,Action,Electronic Arts,2099,nan,4,0.64,0.28,0,0.08
2100,Phoenix Wright: Ace Attorney,DS,2005,Adventure,Capcom,2100,7,nan,0.49,0.07,0.39,0.05
2101,NFL Fever 2002,XB,2000,Sports,Microsoft Game Studios,2101,nan,1,0.74,0.21,0,0.04
2102,The Simpsons: Hit & Run,GC,2003,Racing,Vivendi Games,2102,nan,nan,0.77,0.2,0,0.03
2103,Littlest Pet Shop: Winter,DS,2008,Simulation,Electronic Arts,2103,nan,nan,0.59,0.31,0,0.1
2104,LEGO Harry Potter: Years 5-7,X360,N/A,Action,Warner Bros. Interactive Entertainment,2104,nan,0,0.51,0.39,0,0.09
2105,Tom Clancy's Splinter Cell: Blacklist,X360,2013,Action,Ubisoft,2105,nan,nan,0.57,0.34,0.01,0.08
2106,Ace Combat X: Skies of Deception,PSP,2006,Simulation,Namco Bandai Games,2106,nan,nan,0.37,0.31,0.12,0.19
2107,NCAA Football 12,X360,2011,Sports,Electronic Arts,2107,nan,nan,0.94,0,0,0.06
2108,LEGO Pirates of the Caribbean: The Video Game,PS3,2011,Action,Disney Interactive Studios,2108,nan,6,0.36,0.46,0,0.17
2109,Band Hero,Wii,2009,Misc,Activision,2109,nan,nan,0.6,0.3,0,0.09
2110,Cars: Race-O-Rama,Wii,2009,Racing,THQ,2110,nan,nan,0.61,0.3,0,0.09
2111,Oddworld: Abe's Exoddus,PS,1998,Platform,GT Interactive,2111,3,nan,0.55,0.38,0,0.06
2112,EyePet,PS3,2009,Simulation,Sony Computer Entertainment,2112,nan,nan,0.35,0.52,0.04,0.09
2113,Scooby-Doo! First Frights,Wii,2009,Action,Warner Bros. Interactive Entertainment,2113,nan,nan,0.88,0.05,0,0.07
2114,Midnight Club: LA Remix,PSP,2008,Racing,Take-Two Interactive,2114,nan,0,0.52,0.28,0,0.19
2115,The Bouncer,PS2,2000,Action,Sony Computer Entertainment,2115,3,9,0.3,0.23,0.38,0.08
2116,Guitar Hero: Aerosmith,PS3,2008,Misc,Activision,2116,nan,nan,0.73,0.15,0,0.11
2117,WWE SmackDown vs Raw 2008,Wii,2007,Fighting,THQ,2117,nan,nan,0.38,0.5,0,0.11
2118,FIFA Soccer 10,Wii,2009,Sports,Electronic Arts,2118,nan,nan,0.23,0.65,0,0.11
2119,Shadow The Hedgehog,GC,2005,Platform,Sega,2119,nan,nan,0.76,0.2,0,0.03
2120,Farming Simulator 2013,PC,2012,Simulation,Focus Home Interactive,2120,9,nan,0,0.8,0,0.18
2121,Fallout 3,PC,2008,Role-Playing,Bethesda Softworks,2121,nan,nan,0.02,0.88,0,0.08
2122,Cars,DS,2006,Racing,THQ,2122,nan,nan,0.85,0.05,0,0.08
2123,Pro Evolution Soccer 2008,PSP,2008,Sports,Konami Digital Entertainment,2123,nan,nan,0.02,0.53,0.19,0.25
2124,Trendy Cricket II,nan,nan,nan,nan,2124,nan,nan,nan,nan,nan,nan
2125,Far Cry 3,PC,2012,Shooter,Ubisoft,2125,nan,nan,0.21,0.62,0,0.14
2126,Xenoblade Chronicles,Wii,2010,Role-Playing,Nintendo,2126,nan,5,0.49,0.26,0.16,0.08
2127,Just Dance 2014,X360,2013,Misc,Ubisoft,2127,10,nan,0.72,0.19,0,0.07
2128,Mario Party Advance,GBA,2005,Misc,Nintendo,2128,nan,nan,0.5,0.19,0.28,0.02
2129,Sonic & Sega All-Stars Racing,PS3,2010,Racing,Sega,2129,10,nan,0.36,0.46,0,0.17
2130,Tetris 2,NES,1993,Puzzle,Nintendo,2130,nan,nan,0.62,0.13,0.21,0.02
2131,NASCAR 99,N64,1998,Racing,Electronic Arts,2131,nan,nan,0.94,0.04,0,0.01
2132,Air-Sea Battle,2600,N/A,Shooter,Atari,2132,nan,nan,0.91,0.06,0,0.01
2133,Suikoden III,PS2,N/A,Role-Playing,Unknown,2133,nan,nan,0.29,0.23,0.38,0.08
2134,Kingdom Hearts Re:coded,DS,2010,Role-Playing,Square Enix,2134,nan,nan,0.56,0.1,0.27,0.05
2135,South Park: The Stick of Truth,PS3,2014,Role-Playing,Ubisoft,2135,nan,nan,0.42,0.38,0,0.17
2136,Driver: San Francisco,PS3,2011,Racing,Ubisoft,2136,nan,nan,0.24,0.54,0.01,0.18
2137,Sniper Elite V2,PS3,2012,Shooter,505 Games,2137,nan,nan,0.38,0.39,0.06,0.15
2138,Far Cry 4,X360,2014,Shooter,Ubisoft,2138,nan,nan,0.45,0.44,0,0.08
2139,Grand Theft Auto: San Andreas,PC,2005,Action,Take-Two Interactive,2139,nan,nan,0,0.92,0,0.05
2140,Tom Clancy's Splinter Cell: Blacklist,PS3,2013,Action,Ubisoft,2140,4,nan,0.34,0.41,0.06,0.18
2141,Pro Evolution Soccer 2014,PS3,2013,Action,Konami Digital Entertainment,2141,nan,4,0.03,0.43,0.51,0.01
2142,Madden NFL 16,X360,2015,Sports,Electronic Arts,2142,nan,nan,0.82,0.05,0,0.1
2143,Madden NFL 10,PS2,2009,Sports,Electronic Arts,2143,nan,nan,0.88,0,0,0.1
2144,Brutal Legend,X360,2009,Action,Electronic Arts,2144,nan,8,0.62,0.27,0,0.09
2145,Tamagotchi Connection: Corner Shop 2,DS,2006,Simulation,Namco Bandai Games,2145,3,nan,0.09,0.02,0.86,0.01
2146,Final Fantasy Type-0,PS4,2015,Role-Playing,Square Enix,2146,nan,1,0.37,0.32,0.15,0.14
2147,Madden NFL 08,PS3,2007,Sports,Electronic Arts,2147,nan,nan,0.89,0.01,0,0.08
2148,de Blob,Wii,2008,Platform,THQ,2148,nan,nan,0.5,0.37,0,0.1
2149,NCAA Football 06,XB,2005,Sports,Electronic Arts,2149,nan,nan,0.73,0.21,0,0.03
2150,Mass Effect 3,PC,2012,Role-Playing,Electronic Arts,2150,4,nan,0.4,0.44,0,0.13
2151,NBA 2K10,X360,2009,Sports,Take-Two Interactive,2151,nan,nan,0.88,0.02,0,0.08
2152,Fire Emblem,GBA,2003,Strategy,Nintendo,2152,nan,nan,0.49,0.18,0.29,0.01
2153,Yakuza 4,PS3,N/A,Action,Sega,2153,nan,nan,0.15,0.14,0.63,0.05
2154,Skylanders: Spyro's Adventure,X360,2011,Action,Activision,2154,nan,9,0.53,0.35,0,0.1
2155,Club Penguin: Game Day!,Wii,2010,Sports,Disney Interactive Studios,2155,0,1,0.56,0.33,0,0.08
2156,NHL 2004,PS2,2003,Sports,Electronic Arts,2156,4,nan,0.47,0.37,0,0.12
2157,Grand Theft Auto: Vice City Stories,PS2,2007,Action,Take-Two Interactive,2157,nan,nan,0.78,0.03,0.03,0.13
2158,NBA 2K16,X360,2015,Sports,Take-Two Interactive,2158,nan,nan,0.77,0.1,0,0.1
2159,FIFA Soccer 2005,XB,2004,Sports,Electronic Arts,2159,nan,nan,0.33,0.6,0,0.04
2160,LEGO The Lord of the Rings,Wii,2012,Action,Warner Bros. Interactive Entertainment,2160,nan,5,0.52,0.37,0,0.08
2161,Romancing SaGa,SNES,1992,Role-Playing,SquareSoft,2161,nan,nan,0,0,0.97,0
2162,Donkey Kong Junior,2600,1981,Platform,Atari,2162,nan,5,0.9,0.05,0,0.01
2163,LEGO Star Wars II: The Original Trilogy,GC,2006,Action,LucasArts,2163,nan,nan,0.75,0.19,0,0.03
2164,LEGO Harry Potter: Years 5-7,PS3,N/A,Action,Warner Bros. Interactive Entertainment,2164,nan,nan,0.36,0.45,0,0.16
2165,Final Fantasy X / X-2 HD Remaster,PSV,2013,Role-Playing,Square Enix,2165,nan,nan,0.21,0.31,0.28,0.16
2166,Medal of Honor: Underground,PS,2000,Shooter,Electronic Arts,2166,nan,nan,0.54,0.37,0,0.06
2167,The Sims 2,DS,2005,Simulation,Electronic Arts,2167,nan,nan,0.82,0.07,0,0.07
2168,Dark Cloud 2,PS2,2002,Role-Playing,Sony Computer Entertainment,2168,nan,nan,0.38,0.25,0.26,0.07
2169,Jampack Summer '99,PS,1999,Misc,Sony Computer Entertainment,2169,nan,9,0.54,0.36,0,0.06
2170,PlayStation All-Stars Battle Royale,PS3,2012,Action,Sony Computer Entertainment,2170,6,nan,0.5,0.28,0.04,0.14
2171,Dance Dance Revolution 2nd ReMIX,PS,1999,Simulation,Konami Digital Entertainment,2171,nan,nan,0,0,0.9,0.06
2172,Monster High: Ghoul Spirit,DS,2011,Misc,THQ,2172,nan,nan,0.72,0.17,0,0.07
2173,Dragon Quest X,Wii,2012,Role-Playing,Square Enix,2173,0,nan,0,0,0.96,0
2174,LEGO Pirates of the Caribbean: The Video Game,DS,2011,Action,Disney Interactive Studios,2174,10,0,0.37,0.49,0,0.1
2175,Gangs of London,PSP,2006,Adventure,Sony Computer Entertainment,2175,nan,2,0.3,0.44,0,0.22
2176,Mortal Kombat Trilogy,N64,1996,Fighting,GT Interactive,2176,nan,nan,0.72,0.22,0,0.02
2177,Star Soldier,NES,1986,Shooter,Hudson Soft,2177,2,nan,0.32,0.06,0.57,0.01
2178,Sonic Unleashed,X360,2008,Platform,Sega,2178,nan,nan,0.54,0.33,0,0.09
2179,Lost Planet 2,PS3,2010,Shooter,Capcom,2179,nan,nan,0.29,0.34,0.2,0.13
2180,NHL 2001,PS2,2000,Sports,Electronic Arts,2180,nan,nan,0.47,0.37,0,0.12
2181,Dragon Quest Monsters: Terry's Wonderland 3D,3DS,2012,Role-Playing,Square Enix,2181,1,nan,0,0,0.96,0
2182,My Weight Loss Coach,DS,2008,Sports,Ubisoft,2182,nan,nan,0.3,0.54,0,0.11
2183,Tom Clancy's Ghost Recon: Future Soldier,PS3,2012,Shooter,Ubisoft,2183,nan,nan,0.41,0.33,0.09,0.12
2184,Mega Man Star Force Dragon / Leo / Pegasus,DS,2006,Action,Capcom,2184,nan,nan,0.39,0,0.53,0.03
2185,Shinobi,PS2,2002,Platform,Sony Computer Entertainment,2185,nan,9,0.36,0.28,0.22,0.09
2186,Mortal Kombat: Deadly Alliance,XB,2002,Fighting,Midway Games,2186,nan,nan,0.77,0.15,0,0.04
2187,The Witcher 2: Assassins of Kings,PC,2011,Action,Namco Bandai Games,2187,nan,nan,0.25,0.56,0,0.15
2188,PilotWings Resort,3DS,2011,Simulation,Nintendo,2188,nan,nan,0.4,0.36,0.13,0.07
2189,Naruto Shippuden: Ultimate Ninja Storm 3,PS3,2013,Fighting,Namco Bandai Games,2189,nan,nan,0.32,0.33,0.15,0.15
2190,LEGO Jurassic World,X360,2015,Action,Warner Bros. Interactive Entertainment,2190,nan,nan,0.47,0.4,0,0.08
2191,ESPN NBA 2K5,XB,2004,Sports,Global Star,2191,nan,nan,0.88,0.04,0,0.04
2192,Wheel of Fortune,PS2,N/A,Misc,Unknown,2192,nan,nan,0.47,0.36,0,0.12
2193,World Championship Poker,PS2,2004,Misc,Play It,2193,nan,nan,0.8,0.03,0,0.13
2194,Tom Clancy's Splinter Cell: Chaos Theory,PS2,2005,Action,Ubisoft,2194,nan,9,0.36,0.45,0,0.14
2195,SpongeBob SquarePants: Battle for Bikini Bottom,GC,2003,Platform,THQ,2195,nan,nan,0.74,0.19,0,0.03
2196,South Park: The Stick of Truth,X360,2014,Role-Playing,Ubisoft,2196,9,7,0.57,0.3,0,0.08
2197,Ben 10: Alien Force,DS,2008,Action,Koch Media,2197,6,nan,0.65,0.22,0,0.09
2198,SingStar Abba,PS3,2008,Misc,Sony Computer Entertainment,2198,nan,nan,0.27,0.51,0,0.17
2199,Cars 2,Wii,2011,Racing,Disney Interactive Studios,2199,nan,nan,0.46,0.39,0,0.1
2200,Wild ARMs,PS,1996,Role-Playing,Sony Computer Entertainment,2200,nan,8,0.26,0.17,0.46,0.06
2201,Kessen,PS2,2000,Strategy,Electronic Arts,2201,nan,nan,0.27,0.21,0.41,0.07
2202,Yu-Gi-Oh! Worldwide Edition: Stairway to the Destined Duel,GBA,2003,Misc,Konami Digital Entertainment,2202,8,nan,0.68,0.25,0,0.02
2203,NCAA Football 2000,PS,1999,Sports,Electronic Arts,2203,nan,nan,0.53,0.36,0,0.06
2204,Brutal Legend,PS3,2009,Action,Electronic Arts,2204,nan,nan,0.54,0.28,0,0.13
2205,Skylanders: Spyro's Adventure,PS3,2011,Action,Activision,2205,nan,nan,0.39,0.4,0,0.16
2206,Guitar Hero: Metallica,Wii,2009,Misc,Activision,2206,nan,nan,0.41,0.43,0,0.1
2207,Evolve,PS4,2015,Shooter,Take-Two Interactive,2207,nan,nan,0.35,0.41,0.05,0.15
2208,Mario's Hair Salon Superstar,nan,nan,nan,nan,2208,nan,nan,nan,nan,nan,nan
2209,WWE SmackDown vs. Raw 2009,PS3,2008,Fighting,THQ,2209,nan,nan,0.51,0.31,0.01,0.13
2210,Army of Two: The 40th Day,X360,2010,Shooter,Electronic Arts,2210,nan,nan,0.62,0.24,0,0.08
2211,Tony Hawk: RIDE,Wii,2009,Sports,Activision,2211,nan,nan,0.7,0.17,0,0.08
2212,Lego Batman 3: Beyond Gotham,X360,2014,Action,Warner Bros. Interactive Entertainment,2212,nan,nan,0.48,0.38,0,0.08
2213,Wii Play: Motion,Wii,2011,Misc,Nintendo,2213,7,0,0.24,0.43,0.18,0.09
2214,Killzone,PS2,2004,Shooter,Sony Computer Entertainment,2214,nan,nan,0.79,0.03,0,0.13
2215,The Tomb Raider Trilogy,PS3,2011,Action,Square Enix,2215,nan,nan,0.27,0.5,0,0.17
2216,Colin McRae Rally 04,PS2,2003,Racing,Codemasters,2216,nan,nan,0.01,0.71,0.01,0.21
2217,Star Fox 64 3D,3DS,2011,Shooter,Nintendo,2217,nan,7,0.48,0.27,0.13,0.07
2218,The SpongeBob SquarePants Movie,GC,2004,Platform,THQ,2218,nan,10,0.73,0.19,0,0.03
2219,Spunky Kart Racer,nan,nan,nan,nan,2219,nan,nan,nan,nan,nan,nan
2220,Rocksmith 2014,X360,2013,Misc,Ubisoft,2220,nan,0,0.69,0.17,0,0.08
2221,Midway Presents Arcade's Greatest Hits: The Atari Collection 1,PS,1996,Misc,GT Interactive,2221,nan,5,0.52,0.36,0,0.06
2222,Cars,Wii,2006,Racing,THQ,2222,1,nan,0.83,0.04,0,0.07
2223,Assassin's Creed III,PC,2012,Action,Ubisoft,2223,5,nan,0.28,0.53,0,0.13
2224,Castlevania: Lament of Innocence,PS2,2003,Action,Konami Digital Entertainment,2224,nan,nan,0.46,0.36,0,0.12
2225,Mario Tennis Open,3DS,2012,Sports,Nintendo,2225,nan,nan,0.26,0.29,0.33,0.05
2226,The Witcher 2: Assassins of Kings,X360,2012,Action,Namco Bandai Games,2226,nan,nan,0.48,0.36,0.02,0.08
2227,Bayonetta,X360,2009,Action,Sega,2227,nan,nan,0.51,0.26,0.09,0.08
2228,Destroy All Humans!,PS2,2005,Shooter,THQ,2228,nan,nan,0.78,0.03,0,0.13
2229,MVP Baseball 2005,XB,2005,Sports,Electronic Arts,2229,nan,6,0.7,0.2,0,0.03
2230,SaGa Frontier 2,PS,1999,Role-Playing,SquareSoft,2230,10,5,0.1,0.07,0.71,0.06
2231,NCAA Football 10,X360,2009,Sports,Electronic Arts,2231,nan,nan,0.87,0,0,0.07
2232,MLB 2000,PS,1999,Sports,Sony Computer Entertainment,2232,8,nan,0.52,0.35,0,0.06
2233,The Legend of Zelda: Twilight Princess HD,WiiU,2016,Action,Nintendo,2233,nan,nan,0.48,0.3,0.08,0.08
2234,Bully,PS2,2006,Action,Take-Two Interactive,2234,nan,0,0.75,0.03,0.04,0.12
2235,Prince of Persia: The Sands of Time,XB,2003,Action,Ubisoft,2235,9,nan,0.57,0.33,0,0.04
2236,Phantasy Star Portable,PSP,2008,Role-Playing,Sega,2236,nan,2,0.19,0.06,0.63,0.05
2237,Hot Shots Golf Fore!,PS2,2003,Sports,Sony Computer Entertainment,2237,nan,nan,0.46,0.36,0,0.12
2238,MLB 06: The Show,PS2,2006,Sports,Sony Computer Entertainment,2238,nan,nan,0.78,0.03,0,0.13
2239,NHL 2003,PS2,2002,Sports,Electronic Arts,2239,nan,nan,0.46,0.36,0,0.12
2240,Operation Flashpoint: Dragon Rising,X360,2009,Shooter,Codemasters,2240,nan,nan,0.36,0.45,0.02,0.1
2241,Nickelodeon Fit,Wii,2010,Sports,Take-Two Interactive,2241,nan,1,0.78,0.09,0,0.06
2242,Buzz! Quiz World,PS3,2009,Misc,Sony Computer Entertainment,2242,nan,nan,0.16,0.58,0,0.2
2243,Bentley's Hackpack,GBA,2005,Misc,N/A,2243,nan,nan,0.67,0.25,0,0.02
2244,Tony Hawk's Pro Skater 4,XB,2002,Sports,Activision,2244,2,nan,0.59,0.3,0,0.04
2245,Borderlands 2,PC,2012,Shooter,Take-Two Interactive,2245,4,nan,0.42,0.41,0,0.11
2246,EA Sports Grand Slam Tennis,Wii,2009,Sports,Electronic Arts,2246,nan,nan,0.29,0.52,0.02,0.11
2247,White Knight Chronicles: International Edition,PS3,2008,Role-Playing,Sony Computer Entertainment,2247,1,nan,0.33,0.16,0.36,0.08
2248,SSX,PS3,2012,Sports,Electronic Arts,2248,nan,nan,0.35,0.42,0.02,0.14
2249,Sonic Riders: Zero Gravity,Wii,2008,Racing,Sega,2249,nan,nan,0.5,0.32,0.02,0.1
2250,LEGO Jurassic World,PS3,2015,Action,Warner Bros. Interactive Entertainment,2250,nan,nan,0.34,0.44,0,0.15
2251,Build-A-Bear Workshop,DS,2007,Simulation,Game Factory,2251,nan,nan,0.85,0.01,0,0.07
2252,Crash City Mayhem,GBA,2004,Racing,THQ,2252,nan,nan,0.67,0.25,0,0.02
2253,Spider-Man,2600,1981,Action,Parker Bros.,2253,nan,nan,0.87,0.05,0,0.01
2254,Mega Man 4,NES,1991,Platform,Capcom,2254,nan,10,0.51,0.09,0.32,0.01
2255,Castlevania II: Simon's Quest,NES,1987,Platform,Konami Digital Entertainment,2255,nan,nan,0.45,0.06,0.42,0
2256,Toy Story 2: Buzz Lightyear to the Rescue!,N64,1999,Platform,Activision,2256,nan,8,0.71,0.2,0,0.01
2257,Teenage Mutant Ninja Turtles,GBA,2003,Action,Unknown,2257,nan,nan,0.67,0.25,0,0.02
2258,MLB 07: The Show,PS2,2007,Sports,Sony Computer Entertainment,2258,nan,nan,0.77,0.03,0,0.13
2259,Skylanders: Trap Team,X360,2014,Action,Activision,2259,4,nan,0.54,0.31,0,0.08
2260,Cars,GC,2006,Racing,THQ,2260,nan,nan,0.72,0.19,0,0.03
2261,Brothers in Arms: Hell's Highway,PS3,2008,Shooter,Ubisoft,2261,nan,7,0.44,0.34,0,0.15
2262,Inazuma Eleven 3,DS,2010,Role-Playing,Level 5,2262,nan,nan,0,0,0.93,0
2263,Pokken Tournament,WiiU,2016,Fighting,Namco Bandai Games,2263,nan,8,0.47,0.22,0.16,0.07
2264,SnoCross Championship Racing,PS,1999,Racing,Ubisoft,2264,nan,nan,0.52,0.35,0,0.06
2265,Teenage Mutant Ninja Turtles,PS2,2003,Action,Konami Digital Entertainment,2265,nan,nan,0.45,0.35,0,0.12
2266,Top Gun: Combat Zones,PS2,2001,Simulation,Titus,2266,nan,nan,0.45,0.35,0,0.12
2267,Blue Dragon,X360,2006,Role-Playing,Microsoft Game Studios,2267,nan,nan,0.3,0.33,0.21,0.08
2268,007: The World is not Enough,PS,2000,Action,Electronic Arts,2268,nan,nan,0.51,0.35,0,0.06
2269,NCAA Football 11,X360,2010,Sports,Electronic Arts,2269,nan,nan,0.86,0,0,0.06
2270,NHL 98,PS,1997,Sports,Electronic Arts,2270,nan,10,0.51,0.35,0,0.06
2271,FIFA Street,X360,2012,Sports,Electronic Arts,2271,1,6,0.17,0.65,0,0.1
2272,EA Sports Active 2,PS3,2010,Sports,Electronic Arts,2272,nan,nan,0.52,0.28,0,0.12
2273,SpongeBob SquarePants: The Yellow Avenger,PSP,2006,Action,THQ,2273,nan,3,0.55,0.21,0,0.16
2274,WWE SmackDown vs. Raw 2009,X360,2008,Fighting,THQ,2274,nan,nan,0.58,0.26,0,0.08
2275,Dante's Inferno,X360,2010,Action,Electronic Arts,2275,3,nan,0.63,0.2,0.02,0.07
2276,Wipeout: In The Zone,X360,2011,Misc,Activision,2276,nan,nan,0.87,0,0,0.05
2277,Space Jam,PS,1996,Sports,Acclaim Entertainment,2277,nan,nan,0.51,0.35,0,0.06
2278,Kung Fu Panda,Wii,2008,Action,Activision,2278,nan,5,0.5,0.32,0,0.09
2279,Knockout Kings 2000,N64,1999,Fighting,Electronic Arts,2279,nan,nan,0.63,0.27,0,0.02
2280,Balloon Fight,NES,1985,Platform,Nintendo,2280,nan,nan,0.39,0.09,0.43,0.01
2281,Assassin's Creed,PC,2008,Adventure,Ubisoft,2281,nan,nan,0.01,0.83,0,0.08
2282,Disney Magical World,3DS,2013,Adventure,Nintendo,2282,nan,nan,0.16,0.2,0.53,0.03
2283,Crysis 3,X360,2013,Shooter,Electronic Arts,2283,nan,nan,0.51,0.33,0.01,0.08
2284,Lego Batman 3: Beyond Gotham,PS4,2014,Action,Warner Bros. Interactive Entertainment,2284,0,nan,0.37,0.39,0,0.15
2285,Dynasty Warriors 7,PS3,2011,Action,Tecmo Koei,2285,nan,nan,0.25,0.14,0.46,0.06
2286,The Evil Within,PS3,2014,Action,Bethesda Softworks,2286,nan,nan,0.26,0.39,0.12,0.14
2287,MLB 12: The Show,PS3,2012,Sports,Sony Computer Entertainment,2287,nan,nan,0.86,0,0,0.06
2288,Sonic Riders,GC,2006,Racing,Sega,2288,nan,nan,0.71,0.18,0,0.03
2289,Starsky & Hutch,PS2,2003,Racing,Empire Interactive,2289,nan,nan,0.45,0.35,0,0.12
2290,Tobal No.1,PS,1996,Fighting,Sony Computer Entertainment,2290,nan,nan,0.12,0.08,0.66,0.06
2291,Lost Odyssey,X360,2007,Role-Playing,Microsoft Game Studios,2291,nan,nan,0.45,0.27,0.11,0.09
2292,MLB 15: The Show,PS4,2015,Sports,Sony Computer Entertainment,2292,4,nan,0.67,0.08,0,0.17
2293,Operation Flashpoint: Dragon Rising,PS3,2009,Shooter,Codemasters,2293,nan,nan,0.23,0.46,0.05,0.17
2294,Homefront,PS3,2011,Shooter,THQ,2294,nan,7,0.32,0.4,0.04,0.15
2295,AMF Bowling Pinbusters!,Wii,2007,Sports,Bethesda Softworks,2295,nan,nan,0.85,0,0,0.07
2296,Street Hoops,PS2,2002,Sports,Activision,2296,nan,nan,0.45,0.35,0,0.12
2297,Avatar: The Game,PS3,2009,Action,Ubisoft,2297,2,nan,0.32,0.43,0,0.16
2298,Harvest Moon 3D: A New Beginning,3DS,2012,Action,Marvelous Entertainment,2298,5,nan,0.41,0.17,0.29,0.05
2299,Tom Clancy's EndWar,X360,2008,Strategy,Ubisoft,2299,8,nan,0.58,0.24,0.01,0.09
2300,Knockout Kings 2002,PS2,2002,Sports,Electronic Arts,2300,nan,7,0.45,0.35,0,0.12
2301,Tokyo Xtreme Racer 3,PS2,2003,Racing,Genki,2301,4,nan,0.35,0.27,0.21,0.09
2302,LEGO Indiana Jones 2: The Adventure Continues,PS3,2009,Action,Activision,2302,nan,8,0.47,0.3,0,0.13
2303,Colin McRae Rally 2.0,PS,2000,Racing,Codemasters,2303,nan,nan,0.02,0.8,0.02,0.07
2304,Glover,N64,1998,Platform,Hasbro Interactive,2304,nan,nan,0.72,0.17,0,0.01
2305,MX vs. ATV Reflex,PS3,2009,Racing,THQ,2305,nan,nan,0.52,0.26,0,0.12
2306,Minecraft: Story Mode,X360,2015,Adventure,Mojang,2306,nan,8,0.46,0.38,0,0.08
2307,Namco Museum,XB,N/A,Misc,Unknown,2307,nan,nan,0.77,0.11,0,0.04
2308,Marvel: Ultimate Alliance 2,X360,2009,Role-Playing,Activision,2308,nan,nan,0.68,0.15,0,0.08
2309,Call of Duty: World at War,DS,2008,Shooter,Activision,2309,nan,nan,0.57,0.26,0,0.08
2310,Super Momotarou Dentetsu III,SNES,1994,Simulation,Hudson Soft,2310,nan,1,0,0,0.91,0
2311,Sonic Mega Collection Plus,XB,2004,Misc,Sega,2311,nan,nan,0.61,0.26,0,0.04
2312,DJ Hero,PS3,2009,Misc,Activision,2312,0,nan,0.42,0.34,0,0.14
2313,Dragon Age: Inquisition,XOne,2014,Role-Playing,Electronic Arts,2313,nan,3,0.55,0.28,0,0.07
2314,The Simpsons Game,PS3,2007,Action,Electronic Arts,2314,10,3,0.38,0.37,0,0.15
2315,Tiger Woods PGA Tour 2002,PS2,2002,Sports,Electronic Arts,2315,nan,nan,0.44,0.35,0,0.12
2316,Rhythm Heaven,Wii,N/A,Misc,Unknown,2316,nan,nan,0.13,0,0.77,0.01
2317,Mini-Yonku Shining Scorpion: Let's & Go!!,SNES,1996,Racing,ASCII Entertainment,2317,1,nan,0,0,0.9,0
2318,MLB 2005,PS2,2004,Sports,Sony Computer Entertainment,2318,nan,nan,0.44,0.35,0,0.12
2319,SOCOM 4: U.S. Navy SEALs,PS3,2011,Shooter,Sony Computer Entertainment,2319,nan,nan,0.66,0.12,0.04,0.08
2320,Burnout Revenge,PS2,2005,Racing,Electronic Arts,2320,nan,nan,0.75,0.03,0,0.12
2321,Buzz! Quiz TV,PS3,2008,Misc,Sony Computer Entertainment,2321,5,nan,0.28,0.48,0,0.14
2322,We Ski & Snowboard,Wii,2008,Sports,Atari,2322,nan,nan,0.38,0.29,0.15,0.08
2323,Destruction Derby,PS,1995,Racing,Psygnosis,2323,nan,nan,0.5,0.34,0,0.06
2324,TouchMaster 2,DS,2008,Puzzle,Midway Games,2324,nan,nan,0.3,0.49,0,0.1
2325,Crysis 3,PS3,2013,Shooter,Electronic Arts,2325,nan,nan,0.26,0.43,0.03,0.18
2326,3Xtreme,PS,1999,Action,989 Studios,2326,nan,nan,0.5,0.34,0,0.06
2327,Hot Shots Tennis,PS2,2006,Sports,Sony Computer Entertainment,2327,nan,nan,0.17,0.13,0.55,0.05
2328,Sonic Heroes,XB,2003,Platform,Sega,2328,nan,nan,0.41,0.43,0.01,0.05
2329,Resistance: Retribution,PSP,2009,Shooter,Sony Computer Entertainment,2329,nan,0,0.27,0.36,0.05,0.22
2330,Tiger Woods PGA Tour 12: The Masters,PS3,2011,Sports,Electronic Arts,2330,9,nan,0.52,0.26,0,0.12
2331,Star Wars: The Force Unleashed,DS,2008,Action,LucasArts,2331,10,nan,0.51,0.29,0,0.09
2332,Madden NFL 99,N64,1998,Sports,Electronic Arts,2332,nan,nan,0.84,0.05,0,0.01
2333,Spider-Man 3,PS2,2007,Platform,Activision,2333,6,10,0.74,0.03,0.01,0.12
2334,James Bond 007: Agent Under Fire,XB,2002,Shooter,Electronic Arts,2334,nan,nan,0.65,0.22,0,0.03
2335,Samba De Amigo,Wii,2008,Misc,Sega,2335,nan,nan,0.42,0.37,0.01,0.1
2336,The Elder Scrolls Online,PC,2014,Role-Playing,Bethesda Softworks,2336,nan,2,0.32,0.48,0,0.09
2337,Pure,PS3,2008,Racing,Disney Interactive Studios,2337,nan,nan,0.42,0.33,0,0.14
2338,FIFA Soccer 09 All-Play,Wii,2008,Sports,Electronic Arts,2338,3,4,0.29,0.52,0,0.09
2339,Fossil Fighters,DS,2008,Role-Playing,Nintendo,2339,nan,nan,0.84,0,0,0.06
2340,LittleBigPlanet Karting,PS3,2012,Action,Sony Computer Entertainment,2340,nan,nan,0.42,0.32,0.01,0.15
2341,X-Men Legends,XB,2004,Role-Playing,Activision,2341,9,nan,0.62,0.24,0,0.04
2342,NBA Live 2005,XB,2004,Sports,Electronic Arts,2342,nan,nan,0.81,0.05,0,0.04
